,name,features,total,bar,balance,basic facilities,cool,rocker,swing,integrated,slide,see-saw,climb,mini-game,carousel,sand,walking,track,area,location
29,Powlett Reserve Playground,"Fort tower, sand pit, 4-way spring rocker, swings, tic-tac-toe, chalkboard, public toilet, picnic table, some shade, disabled access.",10,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,"POINT (144.98653166025042,-37.811579264711376)"
30,North Melbourne Recreation Reserve Play Court,Play court space with basketball backboard only,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (144.9414431209704,-37.7997875313562)"
31,Station Street Park Playground,Climbers x 3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"POINT (144.97403671626193,-37.79711679762375)"
32,Fawkner Park East,"Climber, see saws, spring rider, spring rocker, swings, chin up bars, some shade.",7,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,"POINT (144.98399985794708,-37.84064993892241)"
33,Hawke & Adderley Streets Playground,"Slides, carousel, excavator, sandplit and swings.",4,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,"POINT (144.9448053440195,-37.808750428975436)"
34,Eades Park Playground,"Fitness track, slide, rockers, climbing features, lots of shade, some disabled access.",6,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,"POINT (144.95145409721016,-37.80714241577536)"
35,Robertson Street Park Playground,"Swing, spring riders, combination unit.",3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"POINT (144.93242419418542,-37.79316401605385)"
36,Liddy Street Reserve Playground,"Combination unit, spring rider.",2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"POINT (144.92569160307102,-37.79002095090842)"
37,Kensington Hall Reserve Playground,Swing.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"POINT (144.92838775736936,-37.78908319474849)"
38,Canning and Palmerston Streets Playground,Play panel and small stage area. Some disabled access.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (144.97279173238263,-37.796305971286)"
39,Manningham Street Playground,"Wooden tower, slide, swing, rockers, stepping posts, grassed areas.",6,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,"POINT (144.94206333094334,-37.785121524259814)"
40,Parsons Reserve Playground,"Swing, spring riders, combination unit.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (144.93105801483222,-37.790161701406106)"
41,Wharfs Landing Park,"climbing,swinging and balancing elements suspended from timber poles, barbecue, picnic settings, drinking fountain, seats.",5,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,"POINT (144.93653936339456,-37.82208118369352)"
42,Boyd Community Hub,"Swings, slide, rock wall, monkey bars, carousel, see saw, sand pit, tunnels and barrels, Temporary basketball court with backboard and ring.",9,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,"POINT (144.96163497672055,-37.826104219878)"
43,North Melbourne Recreation Reserve Multi Purpose Court,"Basketball rings, synthetic surface",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"POINT (144.9403241169561,-37.79886135319266)"
44,Fitzroy Gardens Playground,"Dragon slide, sandpit, giraffe swing, public toilet, lots of shade.",5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,"POINT (144.98180861601094,-37.81174481978177)"
